Workspace Name,Bound Object,Target Object,Field Code / Name,Field Label,Workspace Tab Location,"Grid Position (Row, Col)",Required Option,Read Only Option,Object Field ID,Data Type,Is System Field,Is Nullable,Is Lookup,Max Length,In Workspace Layout
Contact test,Contact,Contact,Contact.Name.First,First,SUMMARY_LBL,"Row 0, Col 0",No,OnNew:~any~;OnEdit:~any~,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
Contact test,Contact,Contact,Contact.Name.Last,Last,SUMMARY_LBL,"Row 0, Col 1",No,OnNew:~any~;OnEdit:~any~,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
Contact test,Contact,Contact,Contact.Email,Email,SUMMARY_LBL,"Row 1, Col 0",No,OnNew:~any~;OnEdit:~any~,10002,Text,No,Yes,No,255,Yes (Layout Used)
Contact test,Contact,Contact,Contact.OrgId,&Account,SUMMARY_LBL,"Row 1, Col 1",No,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
Contact test,Contact,Contact,Contact.C$IsRegistered,C$IsRegistered,SUMMARY_LBL,"Row 2, Col 0",,"OnNew:30,31,33,32,34,11,14,6,21,10,8,28,9,35,36,39,4,24,7,15,27,37,13,22,23,16,19;OnEdit:30,31,33,32,34,11,14,6,21,10,8,28,9,35,36,39,4,24,7,15,27,37,13,22,23,16,19",—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
Contact test,Contact,Contact,Contact.Disabled,Disabled,SUMMARY_LBL,"Row 3, Col 0",No,"OnNew:30,40,31,33,32,34,41,11,14,6,21,10,8,28,9,35,36,39,4,24,7,15,27,37,13,22,23,16,19;OnEdit:30,40,31,33,32,34,41,11,14,6,21,10,8,28,9,35,36,39,4,24,7,15,27,37,13,22,23,16,19",—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
Contact test,Contact,Contact,Contact.CId,CId,SUMMARY_LBL,"Row 3, Col 1",No,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Incident,Incident.ProdId,ProdId,SUMMARY_LBL,"Row 1, Col 1",OnNew:~any~;OnEdit:~any~,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Incident,Incident.CId,CId,SUMMARY_LBL,"Row 1, Col 2",No,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Incident,Incident.Status.Id,Id,SUMMARY_LBL,"Row 1, Col 3",No,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Incident,Incident.Subject,Subject,SUMMARY_LBL,"Row 2, Col 1",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Incident,Incident.ChanId,ChanId,SUMMARY_LBL,"Row 2, Col 2",No,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Incident,Incident.CatId,CatId,SUMMARY_LBL,"Row 2, Col 3",OnNew:~any~;OnEdit:~any~,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Incident,Incident.Assigned,Assigned,SUMMARY_LBL,"Row 3, Col 1",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Contact,Contact.PhOffice,&Mobile Phone,SUMMARY_LBL,"Row 3, Col 2",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Incident,Incident.QueueId,QueueId,SUMMARY_LBL,"Row 3, Col 3",No,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Contact,Contact.C$Gender,C$Gender,SUMMARY_LBL,"Row 4, Col 2",OnNew:~any~;OnEdit:~any~,,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Contact,Contact.Name.First,First,CONTACTS_LBL,"Row 1, Col 0",No,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Contact,Contact.Name.Last,Last,CONTACTS_LBL,"Row 1, Col 1",No,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Contact,Contact.Email,Email,CONTACTS_LBL,"Row 2, Col 0",No,No,10002,Text,No,Yes,No,255,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Contact,Contact.Addr,Addr,CONTACTS_LBL,"Row 2, Col 1",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Contact,Contact.PhOffice,PhOffice,CONTACTS_LBL,"Row 3, Col 0",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Contact,Contact.Login,Login,CONTACTS_LBL,"Row 0, Col 0",,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Contact,Contact.MaOptIn,MaOptIn,CONTACTS_LBL,"Row 0, Col 1",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Contact,Contact.State,State,CONTACTS_LBL,"Row 0, Col 2",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Contact,Contact.MaMailType,MaMailType,CONTACTS_LBL,"Row 1, Col 1",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Contact,Contact.Source,Source,CONTACTS_LBL,"Row 1, Col 2",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Contact,Contact.Login,Login,CONTACT_FIELDS_LBL,"Row 0, Col 0",,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Contact,Contact.MaOptIn,MaOptIn,CONTACT_FIELDS_LBL,"Row 0, Col 1",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Contact,Contact.State,State,CONTACT_FIELDS_LBL,"Row 0, Col 2",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Contact,Contact.MaMailType,MaMailType,CONTACT_FIELDS_LBL,"Row 1, Col 1",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Contact,Contact.Source,Source,CONTACT_FIELDS_LBL,"Row 1, Col 2",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Incident,Incident.MailboxId,MailboxId,Other Info,"Row 1, Col 0",No,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Incident,Incident.InterfaceId,InterfaceId,Other Info,"Row 1, Col 1",No,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Incident,Incident.SlaiId,SlaiId,Other Info,"Row 1, Col 2",No,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Incident,Incident.Source,Source,Other Info,"Row 2, Col 0",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_01_nested_tabset,Incident,Incident,Incident.LangId,LangId,Other Info,"Row 2, Col 1",No,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
Contact,Contact,Contact,Contact.Title,Title,Top Form Layout,"Row 2, Col 0",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
Contact,Contact,Contact,Contact.Name.First,First,Top Form Layout,"Row 3, Col 0",No,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
Contact,Contact,Contact,Contact.Name.Last,Last,Top Form Layout,"Row 4, Col 0",No,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
Contact,Contact,Contact,Contact.Addr,Addr,Top Form Layout,"Row 5, Col 0",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
Contact,Contact,Contact,Contact.PhOffice,&Mobile Phone,Top Form Layout,"Row 6, Col 0",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
Contact,Contact,Contact,Contact.C$CustomerId,C$CustomerId,Top Form Layout,"Row 7, Col 0",,,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
Contact,Contact,Contact,Contact.Email,Email,Top Form Layout,"Row 8, Col 0",No,No,10002,Text,No,Yes,No,255,Yes (Layout Used)
Contact,Contact,Contact,Contact.CtypeId,CtypeId,Top Form Layout,"Row 9, Col 0",No,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
Contact,Contact,Contact,Contact.C$Gender,C$Gender,Top Form Layout,"Row 10, Col 0",,,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_02_new_workspace_patterns,Contact,Contact,Contact.C$AccountNumber,C$AccountNumber,Summary,"Row 0, Col 0",,,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_02_new_workspace_patterns,Contact,Contact,Contact.PhOffice,PhOffice,Summary,"Row 1, Col 0",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_02_new_workspace_patterns,Contact,Contact,Contact.OrgId,OrgId,Summary,"Row 3, Col 0",No,No,—,Standard Data Field,Yes,Yes,Yes,—,Yes (Layout Used)
real_edge_02_new_workspace_patterns,Contact,Contact,Contact.Addr,Addr,Summary,"Row 4, Col 0",No,No,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_02_new_workspace_patterns,Contact,Contact,Contact.C$Gender,C$Gender,Summary,"Row 5, Col 0",,,—,Standard Data Field,Yes,Yes,No,—,Yes (Layout Used)
real_edge_02_new_workspace_patterns,Contact,Contact,Contact.Email,Email,Summary,"Row 6, Col 0",No,No,10002,Text,No,Yes,No,255,Yes (Layout Used)
