Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Contact,AppendTemplate,11-Unresolved Contact,Unresolved Contact 1 Action,Enabled,"If (Incidents > Escalation Level  equals  Unresolved Contact 1  AND  Incidents > Previous Escalation Level  not equals  Unresolved Contact 1, Unresolved Contact 2, Unresolved Contact 3, Unresolved Contact 4)",Append Response Template to Response Unresolved Contact
Contact,AppendTemplate,11-Unresolved Contact,Unresolved Contact 2 Action,Enabled,"If (Incidents > Escalation Level  equals  Unresolved Contact 2  AND  Incidents > Previous Escalation Level  not equals  Unresolved Contact 2, Unresolved Contact 3, Unresolved Contact 4)",Append Response Template to Response Unresolved Contact 2
Contact,AppendTemplate,11-Unresolved Contact,Unresolved Contact 3 Action,Enabled,"If (Incidents > Escalation Level  equals  Unresolved Contact 3  AND  Incidents > Previous Escalation Level  not equals  Unresolved Contact 3, Unresolved Contact 4)",Append Response Template to Response Unresolved Contact 3
Contact,AppendTemplate,11-Unresolved Contact,Unresolved Contact 4 Action,Enabled,If (Incidents > Escalation Level  equals  Unresolved Contact 4  AND  Incidents > Previous Escalation Level  not equals  Unresolved Contact 4),Append Response Template to Response CLOSED WITHOUT CONFIRMATION
Contact,AppendTemplate,01-Initial State,01- Vendor Portal Auto Reply,Enabled,"If (Incidents > Source  equals  Utilities  AND  Incidents > Incoming Mailbox  equals  Chewy Merch, Chewy Accounting, Chewy EDI, Chewy Vendor Service Portal, Chewy Transportation  AND  Contacts > Email - Primary  does not contain  @sps.com  AND  Contacts > Email - Primary  does not contain  @ibm.com)",Append Response Template to Response Vendor Auto Response
Contact,AppendTemplate,F23-Chewy Contact Us Routing,F23-Route CHIRP Request,Enabled,"If (Incidents > Interface  equals  chewykb  AND  Incidents > Category  equals  Targeted Topics, CHIRP Topics)",Append Response Template to Response CHIRP Request
Contact,AppendTemplate,F23-Chewy Contact Us Routing,F23 - AAQ Cancel Order,Enabled,If (Incidents > Category  equals  Cancel Order  AND  Orders > OrderId  is not null),Append Response Template to Notes Cancel Order Note
Contact,AppendTemplate,F23-Chewy Contact Us Routing,F23 - AAQ Cancel Order No Order,Enabled,If (Incidents > Category  equals  Cancel Order  AND  Orders > OrderId  is null),Append Response Template to Notes Cancel Order Note
Contact,AppendTemplate,F56-CA-Chewy Contact Us Routing,F56-CA - AAQ Cancel Order,Enabled,If (Incidents > Category  equals  Cancel Order  AND  Incidents > Interface  equals  chewyca  AND  Orders > OrderId  is not null),Append Response Template to Notes Cancel Order Note
Contact,AppendTemplate,F56-CA-Chewy Contact Us Routing,F56-CA - AAQ Cancel Order No Order,Enabled,If (Incidents > Category  equals  Cancel Order  AND  Incidents > Interface  equals  chewyca  AND  Orders > OrderId  is null),Append Response Template to Notes Cancel Order Note
