Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Contact,TransitionState_Stop,01-Initial State,Temp Rule to set 'ppauto' emails to Solved for UAT,Enabled,If (Contacts > Email - Primary  contains  ppauto-),Transition State And Stop 05-Chewy Vet Care
Contact,TransitionState_Stop,01-Initial State,01- Vendor Portal Auto Reply,Enabled,"If (Incidents > Source  equals  Utilities  AND  Incidents > Incoming Mailbox  equals  Chewy Merch, Chewy Accounting, Chewy EDI, Chewy Vendor Service Portal, Chewy Transportation  AND  Contacts > Email - Primary  does not contain  @sps.com  AND  Contacts > Email - Primary  does not contain  @ibm.com)",Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,01-Initial State,01-Vet Diet Post OCR Proc (Post-Combine),Disabled,"If (Incidents > Updated from  equals  Custom PHP, Connect PHP, Custom Process, Custom Process (Async), Oracle Integration  AND (  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com )  AND  Incidents > Status  equals  Unresolved  AND  Incidents > Queue  equals  Vet Diet Fax Pending OCR  AND  Incidents > Mailbox  equals  Vet Diet  AND  Custom Field > OCR Failed  not equals  None  AND  Custom Field > OCR Failed  is modified this edit  None)",Transition State And Stop 03-Vet Diet State
Contact,TransitionState_Stop,01-Initial State,01-Vet Diet Post OCR Proc(Post-combine)/,Disabled,"If (Incidents > Updated from  equals  Custom PHP, Connect PHP, Custom Process, Custom Process (Async), Oracle Integration  AND (  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com )  AND  Incidents > Status  equals  Unresolved  AND  Incidents > Queue  equals  Vet Diet Fax Pending OCR  AND  Incidents > Mailbox  equals  Vet Diet  AND  Custom Field > OCR Failed  not equals  None  AND  Custom Field > OCR Failed  is modified this edit  None)",Transition State And Stop 03-Vet Diet State
Contact,TransitionState_Stop,01-Initial State,01-Inbound Open Methods Training Email,Disabled,If (Incidents > Incoming Mailbox  equals  Chewy  AND  Contacts > Email - Primary  equals  training@chewy.com),Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,01-Initial State,01-G-Inbound Open Methods Training Email,Enabled,If (Incidents > Incoming Mailbox  equals  Chewy  AND  Contacts > Email - Primary  equals  training@chewy.com  AND  Incidents > Queue  equals  General Email Overflow  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email )),Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,02-Updated State,02-Vet Diet Post OCR Processing,Enabled,"If (Incidents > Updated from  equals  Custom PHP, Connect PHP, Custom Process, Custom Process (Async), Oracle Integration  AND (  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com )  AND  Incidents > Status  equals  Unresolved  AND  Incidents > Queue  equals  Vet Diet Fax Pending OCR  AND  Incidents > Mailbox  equals  Vet Diet  AND  Custom Field > OCR State  equals  OCR Completed, Post OCR Complete, [V2] OCR Completed, [V2] OCR Failed)",Transition State And Stop 03-Vet Diet State
Contact,TransitionState_Stop,F01-Email Routing,01-Route OnTrac,Enabled,If ((  Contacts > Email - Primary  equals  sagteam1@ontrac.com  OR  Contacts > Email - Primary  equals  info.donotreply@ontrac.com )),Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-Email Routing,01-Route Personalization Update,Enabled,If (Contacts > Email - Primary  equals  orders@gotags.com  OR  Contacts > Email - Primary  equals  cseiden@chewy.com  OR  Contacts > Email - Primary  equals  jweber2@chewy.com  OR  Contacts > Email - Primary  contains  @yellowdog-design.com  OR  Contacts > Email - Primary  contains  @twotailspetcompany.com  OR  Contacts > Email - Primary  contains  @tribesocks.com  OR  Contacts > Email - Primary  contains  @SiliDog.com  OR  Contacts > Email - Primary  contains  @roadid.com  OR  Contacts > Email - Primary  contains  @reddingo.com  OR  Contacts > Email - Primary  contains  @majesticpet.com  OR  Contacts > Email - Primary  equals  ordersupport@fujifilm.com  OR  Contacts > Email - Primary  contains  @coastalpet.com  OR  Contacts > Email - Primary  contains  @bungalowflooring.com  OR  Contacts > Email - Primary  contains  @buckle-down.com  OR  Contacts > Email - Primary  contains  @bowsers.com  OR  Contacts > Email - Primary  contains  @3dogpetsupply.com  OR  Contacts > Contact Type  equals  Personalization Vendor),Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-Email Routing,F01 - Rx FC Overnight Tracking,Enabled,If (Incidents > Subject  contains  CS Escalation Tracker  AND  Contacts > Login  equals  no-reply@sharepointonline.com  OR  Contacts > Login  equals  jlausch@chewy.com  AND  Incidents > Source  equals  Techmail - Service Mailbox  AND  Incidents > Incoming Mailbox  equals  RX),Transition State And Stop 04-Pharmacy State
