Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Incidents,SendEmail,01-Initial State,01-CA-Inbound Vendor Portal AAQ - Send Email,Enabled,"If (Incidents > Source  equals  Ask A Question  AND  Incidents > Interface  equals  chewyca  AND  Custom Field > Request Type  equals  Create or modify Appointment, Dropship Vendor Performance Appeal, DSCO Questions/Issues, Marketing Request, New Vendor Follow-up, Setup EDI Account, Playbook Questions, Dropship Shipping or Ordering Questions, Shipping or Ordering Questions, Vendor Account Information Update, Vendor Performance Scorecard Questions, Collect Vendor Creating New OTM Profile, Technical Questions for RTS, Transportation Escalations, Accessorial Request, Contact Follow-Up, Report Technical Issue, New International Vendor Submission, Contact and Address Update, Banking Information Update, Certificate of Insurance Renewal, Vendor Merger & Acquisition)",Send Email Response to Sender
Incidents,SendEmail,01-Initial State,01-CA-Inbound Vendor Portal AAQ - Feedba,Enabled,If (Incidents > Source  equals  Ask A Question  AND  Custom Field > Request Type  equals  Feedback or Suggestions  AND  Incidents > Interface  equals  chewyca),Send Email Response to Sender
Incidents,SendEmail,01-Initial State,01-CA-Inbound Central Scheduling Cofirm,Enabled,"If (Incidents > Source  equals  Ask A Question  AND  Custom Field > Request Type  equals  Create or Modify Appointment, Reschedule Appt  AND  Incidents > Interface  equals  chewyca)",Send Email Response to Sender
Incidents,SendEmail,01-Initial State,01-CA-Inbound Central Scheduling New ord,Enabled,If (Incidents > Source  equals  Ask A Question  AND  Custom Field > Request Type  equals  Message or Question  AND  Incidents > Interface  equals  chewyca),Send Email Response to Sender
Incidents,SendEmail,01-Initial State,01-Special Email Import,Disabled,If (Incidents > Source  equals  Techmail - Service Mailbox  AND  Custom Field > Sign Off  equals  specialemailblast  AND  Custom Field > Sign Off  is modified this edit    AND  Incidents > Updated from  equals  Data Import),Send Email Response to Sender Include question
Incidents,SendEmail,01-Initial State,01-Ad Hoc Email Blast,Disabled,If (Custom Field > Sign Off  equals  adhocemailblast  AND  Custom Field > Sign Off  is modified this edit    AND  Incidents > Updated from  equals  Data Import),Send Email Response to Sender Include question
Incidents,SendEmail,01-Initial State,01-Damage Exception Email Import,Enabled,If (Incidents > Source  equals  Data Import  AND  Custom Field > Sign Off  equals  damageexceptionemail  AND  Custom Field > Sign Off  is modified this edit),Send Email Response to Sender Include question
Incidents,SendEmail,01-Initial State,01-Special Coupon $10 Import,Disabled,If (Incidents > Source  equals  Import Tools  AND  Custom Field > Sign Off  equals  specialcouponblast10  AND  Incidents > Subject  equals  We're sorry. Here's $10),Send Email Response to Sender
Incidents,SendEmail,01-Initial State,01-Special Coupon $15 Import,Disabled,If (Incidents > Source  equals  Import Tools  AND  Custom Field > Sign Off  equals  specialcouponblast15  AND  Incidents > Subject  equals  We're sorry. Here's $15),Send Email Response to Sender
Incidents,SendEmail,01-Initial State,01-Accessibility Email,Disabled,"If (Incidents > Mailbox  equals  Unspecified, chewyca@custhelp.com, Pet Insurance by Chewy, Vet Care Medical Records, Vet Care Team, vendorgrowthpartners@custhelp.com, vetsupport@custhelp.com, thezoosupport@custhelp.com, Chewy Vendor Care, Supply Mailbox, RX, Vet Diet, Chewy)",Email Incident Information including administration fields  Email Address msadecki1@chewy.com with Subject line New Accessibility Email Staff Member/Group
Incidents,SendEmail,01-Initial State,01-G-Accessibility Email,Enabled,"If (Incidents > Mailbox  equals  Unspecified, chewyca@custhelp.com, Pet Insurance by Chewy, Vet Care Medical Records, Vet Care Team, vendorgrowthpartners@custhelp.com, vetsupport@custhelp.com, thezoosupport@custhelp.com, Chewy Vendor Care, Supply Mailbox, RX, Vet Diet, Chewy  AND  Incidents > Queue  equals  Accessibility)",Email Incident Information including administration fields  Email Address msadecki1@chewy.com with Subject line New Accessibility Email Staff Member/Group
