Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Incidents,SendMarketingEmail,03-Vet Diet State,Finn Email Test,Enabled,If (Custom Field > Sign Off  equals  Finn Email Test  AND  Custom Field > Sign Off  is modified this edit),Send Marketing Email Dat 3 Temp Email - Covid Removed After +0 Hours Exactly
Incidents,SendMarketingEmail,F27-Vet Diet Waiting,F27- Fax Pref Touch 2 - Action,Enabled,If (Incidents > Previous Escalation Level  not equals  Vet Diet Fax Touch 2  AND  Incidents > Escalation Level  equals  Vet Diet Fax Touch 2  AND  Incidents > Status  equals  Waiting  AND  Incidents > Disposition  equals  Pending Second Contact),Send Marketing Email Dat 3 Temp Email - Covid Removed After +0 Days Exactly
Incidents,SendMarketingEmail,F27-Vet Diet Waiting,F27- Email Pref Touch 2 - Action,Enabled,If (Incidents > Previous Escalation Level  equals  null  AND  Incidents > Escalation Level  equals  Vet Diet Email Touch 2  AND  Incidents > Status  equals  Waiting  AND  Incidents > Disposition  equals  Pending Second Contact),Send Marketing Email Dat 3 Temp Email - Covid Removed After +0 Days Exactly
Incidents,SendMarketingEmail,F62-CVC-PMR Escalations,F62-00 0Day Escalation,Disabled,If (Custom Field > Expiration Date  equals  +0 Days Exactly From Now  AND (  Incidents > Previous Escalation Level  not equals  PMR 0 Day  AND  Incidents > Escalation Level  is modified this edit    OR  Incidents > Queue  is modified this edit    AND  Incidents > Queue  equals  CVC Medical Request  OR  Custom Field > Expiration Date  is modified this edit   )),Send Marketing Email CVC PMR Mailer New Logo - Wording After +0 Days Exactly
Incidents,SendMarketingEmail,F62-CVC-PMR Escalations,F62-00 +7Day Final Escalation,Enabled,If (Custom Field > Expiration Date  equals  -7 Days Exactly From Now  AND (  Incidents > Previous Escalation Level  not equals  PMR Final Ask +7 Days  AND  Incidents > Escalation Level  is modified this edit    OR  Incidents > Queue  is modified this edit    AND  Incidents > Queue  equals  CVC Medical Request  OR  Custom Field > Expiration Date  is modified this edit   )),Send Marketing Email CVC PMR Mailer New Logo - Wording After +0 Days Exactly
Incidents,SendMarketingEmail,F62-CVC-PMR Escalations,F62-01 1Day Escalation,Enabled,If (Custom Field > Expiration Date  equals  +1 Days Exactly From Now  AND (  Incidents > Previous Escalation Level  not equals  PMR 1 Day  AND  Incidents > Escalation Level  is modified this edit    OR  Incidents > Queue  is modified this edit    AND  Incidents > Queue  equals  CVC Medical Request  OR  Custom Field > Expiration Date  is modified this edit   )),Send Marketing Email CVC PMR Mailer New Logo - Wording After +0 Days Exactly
Incidents,SendMarketingEmail,F62-CVC-PMR Escalations,F62-02 2Day Escalation,Disabled,If (Custom Field > Expiration Date  equals  +2 Days Exactly From Now  AND (  Incidents > Previous Escalation Level  not equals  PMR 2 Day  AND  Incidents > Escalation Level  is modified this edit    OR  Incidents > Queue  is modified this edit    AND  Incidents > Queue  equals  CVC Medical Request  OR  Custom Field > Expiration Date  is modified this edit   )),Send Marketing Email CVC PMR Mailer New Logo - Wording After +0 Days Exactly
Incidents,SendMarketingEmail,F62-CVC-PMR Escalations,F62-03 3Day Escalation,Disabled,If (Custom Field > Expiration Date  equals  +3 Days Exactly From Now  AND (  Incidents > Previous Escalation Level  not equals  PMR 3 Day  AND  Incidents > Escalation Level  is modified this edit    OR  Incidents > Queue  is modified this edit    AND  Incidents > Queue  equals  CVC Medical Request  OR  Custom Field > Expiration Date  is modified this edit   )),Send Marketing Email CVC PMR Mailer New Logo - Wording After +0 Days Exactly
Incidents,SendMarketingEmail,F62-CVC-PMR Escalations,F62-04 8Day Escalation,Disabled,If (Custom Field > Expiration Date  equals  +8 Days Exactly From Now  AND (  Incidents > Previous Escalation Level  not equals  PMR 8 Day  AND  Incidents > Escalation Level  is modified this edit    OR  Incidents > Queue  is modified this edit    AND  Incidents > Queue  equals  CVC Medical Request  OR  Custom Field > Expiration Date  is modified this edit   )),Send Marketing Email CVC PMR Mailer New Logo - Wording After +0 Days Exactly
Incidents,SendMarketingEmail,F62-CVC-PMR Escalations,F62-04 12Day Escalation,Disabled,If (Custom Field > Expiration Date  equals  +12 Days Exactly From Now  AND (  Incidents > Previous Escalation Level  not equals  PMR 8 Day  AND  Incidents > Escalation Level  is modified this edit    OR  Incidents > Queue  is modified this edit    AND  Incidents > Queue  equals  CVC Medical Request  OR  Custom Field > Expiration Date  is modified this edit   )),Send Marketing Email CVC PMR Mailer New Logo - Wording After +0 Days Exactly
