Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Contacts,CPMCall,F01-Email Routing,01- Vet Diet Fax Routing v2,Disabled,If ((  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com  OR  Contacts > Email - Primary  equals  kwallace1@chewy.com )  AND  Incidents > Incoming Mailbox  equals  Vet Diet),Execute Object Event Handler ocr_get_fax_number
Contacts,CPMCall,F01-Email Routing,01- Vet Diet Fax Routing,Enabled,If ((  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com  OR  Contacts > Email - Primary  equals  kwallace1@chewy.com  OR  Contacts > Email - Primary  equals  mfinn@chewy.com )  AND  Incidents > Incoming Mailbox  equals  Vet Diet),Execute Object Event Handler ocr_get_fax_number
Contacts,CPMCall,F01-Email Routing,01- Chewy Rx Pharmacy Fax Routing,Enabled,If ((  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com  OR  Contacts > Email - Primary  equals  help@mail.efax.com  OR  Contacts > Email - Primary  equals  emcavinn@chewy.com )  AND  Incidents > Incoming Mailbox  equals  RX  AND  Custom Field > Channel  not equals  Gabapentin),Execute Object Event Handler ocr_get_fax_number
Contacts,CPMCall,F01-Email Routing,01- Chewy Rx Pharmacy Fax Routing - Gaba,Enabled,If ((  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com  OR  Contacts > Email - Primary  equals  help@mail.efax.com  OR  Contacts > Email - Primary  equals  emcavinn@chewy.com )  AND  Incidents > Incoming Mailbox  equals  RX  AND  Custom Field > Channel  equals  Gabapentin),Execute Object Event Handler ocr_get_fax_number
Contacts,CPMCall,F01-Email Routing,01- Rx Pharmacy Fax Routing v2,Disabled,If ((  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com  OR  Contacts > Email - Primary  equals  help@mail.efax.com )  AND  Incidents > Incoming Mailbox  equals  RX),Execute Object Event Handler ocr_get_fax_number
Contacts,CPMCall,F01-Email Routing,01- Chewy Rx Pharmacy Verbal Routing,Enabled,If ((  Contacts > Email - Primary  equals  pharmacyteam@chewy.com  OR  Contacts > Email - Primary  equals  verbals@chewy.com )  AND  Incidents > Incoming Mailbox  equals  RX  AND  Custom Field > Channel  not equals  Gabapentin),Execute Object Event Handler ocr_get_fax_number
Contacts,CPMCall,F01-Email Routing,01- Chewy Rx Pharmacy Verbal Rout -GABA,Enabled,If ((  Contacts > Email - Primary  equals  pharmacyteam@chewy.com  OR  Contacts > Email - Primary  equals  verbals@chewy.com )  AND  Incidents > Incoming Mailbox  equals  RX  AND  Custom Field > Channel  equals  Gabapentin),Execute Object Event Handler ocr_get_fax_number
Contacts,CPMCall,F01-Email Routing,01- Rx Pharmacy Verbal Routing v2,Disabled,If ((  Contacts > Email - Primary  equals  pharmacyteam@chewy.com  OR  Contacts > Email - Primary  equals  verbals@chewy.com )  AND  Incidents > Incoming Mailbox  equals  RX),Execute Object Event Handler ocr_get_fax_number
Contacts,CPMCall,F01-G Email Routing,F01-G- Chewy Rx Pharmacy Fax Routing - Gaba,Enabled,If ((  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com  OR  Contacts > Email - Primary  equals  help@mail.efax.com  OR  Contacts > Email - Primary  equals  emcavinn@chewy.com )  AND  Incidents > Incoming Mailbox  equals  RX  AND  Custom Field > Channel  equals  Gabapentin  AND  Incidents > Queue  equals  Rx Pharmacy Data Entry - AVP  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email )),Execute Object Event Handler ocr_get_fax_number
Contacts,CPMCall,F01-G Email Routing,F01-G- Chewy Rx Pharmacy Verbal Rout -GABA,Enabled,If ((  Contacts > Email - Primary  equals  pharmacyteam@chewy.com  OR  Contacts > Email - Primary  equals  verbals@chewy.com )  AND  Incidents > Incoming Mailbox  equals  RX  AND  Incidents > Queue  equals  Rx Pharmacy Data Entry - AVP  AND  Custom Field > Channel  equals  Gabapentin),Execute Object Event Handler ocr_get_fax_number
Contacts,CPMCall,F23-Chewy Contact Us Routing,F23 - AAQ Cancel Order,Enabled,If (Incidents > Category  equals  Cancel Order  AND  Orders > OrderId  is not null),Execute Object Event Handler inc_cancelOrderProcessStart
Contacts,CPMCall,F56-CA-Chewy Contact Us Routing,F56-CA - AAQ Cancel Order,Enabled,If (Incidents > Category  equals  Cancel Order  AND  Incidents > Interface  equals  chewyca  AND  Orders > OrderId  is not null),Execute Object Event Handler inc_cancelOrderProcessStart
